"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"50","Reggina Calcio ","Reggina Calcio","43","43","23,2","9","18,50 Mill. €","430 Th. €",2011
"51","FC Empoli ","FC Empoli","40","40","22,8","10","18,08 Mill. €","452 Th. €",2011
"52","US Sassuolo ","US Sassuolo","41","41","24,1","4","17,80 Mill. €","434 Th. €",2011
"53","Varese 1910 ","Varese 1910","39","39","24,4","10","17,05 Mill. €","437 Th. €",2011
"54","AS Livorno ","AS Livorno","42","42","23,4","7","16,98 Mill. €","404 Th. €",2011
"55","Vicenza Calcio ","Vicenza Calcio","39","39","23,9","5","15,78 Mill. €","404 Th. €",2011
"56","US Grosseto FC ","US Grosseto FC","43","43","24,0","6","14,73 Mill. €","342 Th. €",2011
"57","Modena FC ","Modena FC","43","43","23,1","6","14,40 Mill. €","335 Th. €",2011
"58","Delfino Pescara 1936 ","Delfino Pescara 1936","45","45","23,3","4","11,78 Mill. €","262 Th. €",2011
"59","AS Gubbio 1910  ","AS Gubbio 1910","39","39","22,6","7","10,75 Mill. €","276 Th. €",2011
"60","SS Juve Stabia  ","SS Juve Stabia","38","38","23,8","8","10,75 Mill. €","283 Th. €",2011
"61","Hellas Verona  ","Hellas Verona","34","34","24,9","11","10,48 Mill. €","308 Th. €",2011
"62","Nocerina 1910  ","Nocerina 1910","48","48","25,3","4","10,15 Mill. €","211 Th. €",2011
"63","FC Crotone ","FC Crotone","35","35","22,2","8","10,05 Mill. €","287 Th. €",2011
"64","UC AlbinoLeffe ","UC AlbinoLeffe","41","41","22,1","5","9,28 Mill. €","226 Th. €",2011
"65","Ascoli Calcio 1898 ","Ascoli Calcio 1898","38","38","23,8","5","8,60 Mill. €","226 Th. €",2011
"66","AS Cittadella ","AS Cittadella","33","33","23,4","4","6,83 Mill. €","207 Th. €",2011
"67","Hellas Verona ","Hellas Verona","42","42","24,8","19","30,10 Mill. €","717 Th. €",2012
"68","Spezia Calcio  ","Spezia Calcio","38","38","22,4","6","21,43 Mill. €","564 Th. €",2012
"69","Varese 1910 ","Varese 1910","37","37","24,4","13","20,23 Mill. €","547 Th. €",2012
"70","US Sassuolo ","US Sassuolo","34","34","22,4","4","20,23 Mill. €","595 Th. €",2012
"71","Calcio Padova ","Calcio Padova","47","47","23,4","16","18,85 Mill. €","401 Th. €",2012
"72","Brescia Calcio ","Brescia Calcio","39","39","22,3","17","17,78 Mill. €","456 Th. €",2012
