"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"68","SC Braga ","SC Braga","45","45","23,7","26","81,70 Mill. €","1,82 Mill. €",2013
"69","Rio Ave FC ","Rio Ave FC","38","38","23,4","20","29,85 Mill. €","807 Th. €",2013
"70","CD Nacional ","CD Nacional","34","34","23,0","21","24,05 Mill. €","707 Th. €",2013
"71","CS Marítimo ","CS Marítimo","36","36","24,2","22","22,75 Mill. €","632 Th. €",2013
"72","FC Paços de Ferreira ","FC Paços de Ferreira","35","35","25,5","16","22,55 Mill. €","644 Th. €",2013
"73","Estoril Praia ","Estoril Praia","30","30","24,2","13","20,75 Mill. €","692 Th. €",2013
"74","Vitória Guimaraes SC ","Vitória Guimaraes SC","31","31","23,1","16","20,75 Mill. €","669 Th. €",2013
"75","Académica Coimbra ","Académica Coimbra","30","30","25,6","17","19,95 Mill. €","665 Th. €",2013
"76","FC Arouca  ","FC Arouca","29","29","25,3","12","19,75 Mill. €","681 Th. €",2013
"77","Gil Vicente FC ","Gil Vicente FC","34","34","24,8","19","18,90 Mill. €","556 Th. €",2013
"78","Belenenses SAD  ","Belenenses SAD","36","36","24,6","15","18,25 Mill. €","507 Th. €",2013
"79","SC Olhanense ","SC Olhanense","33","33","24,5","22","15,60 Mill. €","473 Th. €",2013
"80","Vitória Setúbal FC ","Vitória Setúbal FC","32","32","24,2","12","15,40 Mill. €","481 Th. €",2013
"81","FC Porto ","FC Porto","30","30","23,6","23","167,90 Mill. €","5,60 Mill. €",2014
"82","SL Benfica ","SL Benfica","33","33","25,4","23","157,40 Mill. €","4,77 Mill. €",2014
"83","Sporting CP ","Sporting CP","24","24","24,0","13","113,90 Mill. €","4,75 Mill. €",2014
"84","SC Braga ","SC Braga","37","37","23,4","20","55,95 Mill. €","1,51 Mill. €",2014
"85","Estoril Praia ","Estoril Praia","31","31","24,5","18","27,00 Mill. €","871 Th. €",2014
"86","Rio Ave FC ","Rio Ave FC","35","35","22,6","20","24,25 Mill. €","693 Th. €",2014
"87","Vitória Guimaraes SC ","Vitória Guimaraes SC","44","44","22,7","22","23,70 Mill. €","539 Th. €",2014
"88","Gil Vicente FC ","Gil Vicente FC","37","37","24,6","22","23,20 Mill. €","627 Th. €",2014
