"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"141","Eintracht Frankfurt ","Eintracht Frankfurt","35","35","23,1","22","66,10 Mill. €","1,89 Mill. €",2016
"142","SC Freiburg  ","SC Freiburg","36","36","24,0","13","40,25 Mill. €","1,12 Mill. €",2016
"143","FC Ingolstadt 04 ","FC Ingolstadt 04","32","32","23,8","15","36,68 Mill. €","1,15 Mill. €",2016
"144","SV Darmstadt 98 ","SV Darmstadt 98","39","39","25,7","17","32,83 Mill. €","842 Th. €",2016
"145","Bayern Munich ","Bayern Munich","38","38","23,7","18","610,25 Mill. €","16,06 Mill. €",2017
"146","Borussia Dortmund ","Borussia Dortmund","35","35","24,0","19","449,23 Mill. €","12,84 Mill. €",2017
"147","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","27","27","24,3","14","225,40 Mill. €","8,35 Mill. €",2017
"148","FC Schalke 04 ","FC Schalke 04","29","29","24,6","18","205,20 Mill. €","7,08 Mill. €",2017
"149","RB Leipzig ","RB Leipzig","28","28","23,1","19","200,98 Mill. €","7,18 Mill. €",2017
"150","VfL Wolfsburg ","VfL Wolfsburg","33","33","23,3","19","150,80 Mill. €","4,57 Mill. €",2017
"151","Borussia Mönchengladbach ","Borussia Mönchengladbach","35","35","23,6","19","150,18 Mill. €","4,29 Mill. €",2017
"152","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","36","36","23,1","13","123,35 Mill. €","3,43 Mill. €",2017
"153","1. FC Köln ","1. FC Köln","38","38","23,5","18","120,70 Mill. €","3,18 Mill. €",2017
"154","Hertha BSC ","Hertha BSC","32","32","23,9","14","89,85 Mill. €","2,81 Mill. €",2017
"155","Eintracht Frankfurt ","Eintracht Frankfurt","36","36","24,0","23","82,30 Mill. €","2,29 Mill. €",2017
"156","SV Werder Bremen ","SV Werder Bremen","33","33","24,6","19","78,43 Mill. €","2,38 Mill. €",2017
"157","1.FSV Mainz 05 ","1.FSV Mainz 05","33","33","24,4","18","76,65 Mill. €","2,32 Mill. €",2017
"158","VfB Stuttgart  ","VfB Stuttgart","34","34","23,8","17","73,88 Mill. €","2,17 Mill. €",2017
"159","SC Freiburg ","SC Freiburg","36","36","24,5","14","72,73 Mill. €","2,02 Mill. €",2017
"160","Hamburger SV ","Hamburger SV","34","34","23,5","16","70,08 Mill. €","2,06 Mill. €",2017
